Username,Top Repository,Github,Repository URL,Ratings
enaqx,awesome-react,https://github.com//enaqx,https://github.com//enaqx/awesome-react,61000
sindresorhus,awesome-nodejs,https://github.com//sindresorhus,https://github.com//sindresorhus/awesome-nodejs,55000
fffaraz,awesome-cpp,https://github.com//fffaraz,https://github.com//fffaraz/awesome-cpp,54100
prakhar1989,awesome-courses,https://github.com//prakhar1989,https://github.com//prakhar1989/awesome-courses,52700
binhnguyennus,awesome-scalability,https://github.com//binhnguyennus,https://github.com//binhnguyennus/awesome-scalability,52100
Solido,awesome-flutter,https://github.com//Solido,https://github.com//Solido/awesome-flutter,50400
wasabeef,awesome-android-ui,https://github.com//wasabeef,https://github.com//wasabeef/awesome-android-ui,48600
vsouza,awesome-ios,https://github.com//vsouza,https://github.com//vsouza/awesome-ios,45300
tiimgreen,github-cheat-sheet,https://github.com//tiimgreen,https://github.com//tiimgreen/github-cheat-sheet,44800
bregman-arie,devops-exercises,https://github.com//bregman-arie,https://github.com//bregman-arie/devops-exercises,62200
ByteByteGoHq,system-design-101,https://github.com//ByteByteGoHq,https://github.com//ByteByteGoHq/system-design-101,55000
localstack,localstack,https://github.com//localstack,https://github.com//localstack/localstack,51500
serverless,serverless,https://github.com//serverless,https://github.com//serverless/serverless,45900
donnemartin,data-science-ipython-notebooks,https://github.com//donnemartin,https://github.com//donnemartin/data-science-ipython-notebooks,26200
sst,sst,https://github.com//sst,https://github.com//sst/sst,19400
pulumi,pulumi,https://github.com//pulumi,https://github.com//pulumi/pulumi,19100
kubernetes-sigs,kubespray,https://github.com//kubernetes-sigs,https://github.com//kubernetes-sigs/kubespray,15100
aws,aws-cli,https://github.com//aws,https://github.com//aws/aws-cli,14700
ramitsurana,awesome-kubernetes,https://github.com//ramitsurana,https://github.com//ramitsurana/awesome-kubernetes,14600
getsops,sops,https://github.com//getsops,https://github.com//getsops/sops,14700
donnemartin,awesome-aws,https://github.com//donnemartin,https://github.com//donnemartin/awesome-aws,12000
caprover,caprover,https://github.com//caprover,https://github.com//caprover/caprover,11900
GoogleCloudPlatform,terraformer,https://github.com//GoogleCloudPlatform,https://github.com//GoogleCloudPlatform/terraformer,11500
aws,aws-cdk,https://github.com//aws,https://github.com//aws/aws-cdk,11000
apereo,cas,https://github.com//apereo,https://github.com//apereo/cas,10600
aws,chalice,https://github.com//aws,https://github.com//aws/chalice,10200
infracost,infracost,https://github.com//infracost,https://github.com//infracost/infracost,10100
aws-amplify,amplify-js,https://github.com//aws-amplify,https://github.com//aws-amplify/amplify-js,9400
hashicorp,terraform-provider-aws,https://github.com//hashicorp,https://github.com//hashicorp/terraform-provider-aws,9300
bregman-arie,devops-exercises,https://github.com//bregman-arie,https://github.com//bregman-arie/devops-exercises,62200
microsoft,generative-ai-for-beginners,https://github.com//microsoft,https://github.com//microsoft/generative-ai-for-beginners,24400
pulumi,pulumi,https://github.com//pulumi,https://github.com//pulumi/pulumi,19100
recommenders-team,recommenders,https://github.com//recommenders-team,https://github.com//recommenders-team/recommenders,17600
ramitsurana,awesome-kubernetes,https://github.com//ramitsurana,https://github.com//ramitsurana/awesome-kubernetes,14600
getsops,sops,https://github.com//getsops,https://github.com//getsops/sops,14700
Azure,azure-quickstart-templates,https://github.com//Azure,https://github.com//Azure/azure-quickstart-templates,13600
caprover,caprover,https://github.com//caprover,https://github.com//caprover/caprover,11900
infracost,infracost,https://github.com//infracost,https://github.com//infracost/infracost,10100
google,go-cloud,https://github.com//google,https://github.com//google/go-cloud,9300
microsoft,computervision-recipes,https://github.com//microsoft,https://github.com//microsoft/computervision-recipes,9300
